autotuner_id,root_opcode,distinct_choices,distinct_emitter_kinds,emitter_kinds,modal_share_pct,entropy_bits,modal_config,modal_config_id,run1_config_id,run2_config_id,run3_config_id,run4_config_id,run5_config_id
4b1459007e6b,dot,4,1,triton,40.0,1.9219280948873623,"triton(block_m=128,block_n=32,block_k=64,num_warps=4,num_stages=3,num_ctas=1,tma=true)",125c447234d5,470c1a15cf33,125c447234d5,06802a8ad056,125c447234d5,66dc7d7dc185
6cf14d931fee,dot,4,1,triton,40.0,1.9219280948873623,"triton(block_m=16,block_n=16,block_k=32,num_warps=2,num_stages=1,num_ctas=1)",713af33cfea8,463453185048,713af33cfea8,c6109a06f994,713af33cfea8,7ac49795eb7a
22e9f115ca88,add,3,2,block_level/native_emitter,40.0,1.5219280948873621,"block_level(num_warps=4,num_stages=1,num_ctas=1,tiles=8x16)",ec5ecda5b886,1ca4ad8b3302,ec5ecda5b886,ec5ecda5b886,b9a30111d616,b9a30111d616
705dc5d084bb,dot,3,1,triton,40.0,1.5219280948873621,"triton(block_m=64,block_n=64,block_k=16,num_warps=2,num_stages=3,num_ctas=1)",f87e63d7ef70,f87e63d7ef70,470c1a15cf33,f87e63d7ef70,a9363bccc9ef,470c1a15cf33
959b956ca811,reduce,3,2,block_level/native_emitter,40.0,1.5219280948873621,native_emitter,b9a30111d616,b9a30111d616,311b24ee43d0,61fff816610b,311b24ee43d0,b9a30111d616
db4c958a7aec,reduce,3,2,block_level/native_emitter,40.0,1.5219280948873621,"block_level(num_warps=2,num_stages=1,num_ctas=1,tma=true,tiles=8)",839244672953,47dacba6fef8,839244672953,b9a30111d616,b9a30111d616,839244672953
f39730ad0cf2,reduce,3,2,block_level/native_emitter,40.0,1.5219280948873621,"block_level(num_warps=1,num_stages=1,num_ctas=1,tiles=1)",1d7c771278ca,1d7c771278ca,b9a30111d616,6478ed58f918,1d7c771278ca,b9a30111d616
06f33abbb46c,reduce,3,2,block_level/native_emitter,60.0,1.3709505944546687,native_emitter,b9a30111d616,b9a30111d616,6478ed58f918,1d7c771278ca,b9a30111d616,b9a30111d616
29ce5c6de861,reduce,3,2,block_level/native_emitter,60.0,1.3709505944546687,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,b9a30111d616,70a601a728c6,334da2282c18
313584465690,reduce,3,2,block_level/native_emitter,60.0,1.3709505944546687,native_emitter,b9a30111d616,b9a30111d616,b9a30111d616,17a52d51c960,7f3ce5435cb4,b9a30111d616
4c5d36b69d91,slice,3,2,block_level/native_emitter,60.0,1.3709505944546687,"block_level(num_warps=4,num_stages=1,num_ctas=1,tiles=1x256)",4696f2c6943c,4696f2c6943c,5ea73922eee1,4696f2c6943c,4696f2c6943c,b9a30111d616
